Model,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,ROC-AUC Mean,ROC-AUC Std,Rank
AdaBoost,0.8381152862482786,0.005911122172584165,0.5217282717282716,0.10280408478946315,0.09237071172555043,0.03678035139966498,0.15150419011413963,0.05292123012961109,0.753410713459824,0.04211758276821979,1.0
CatBoost,0.837093579906879,0.0040203296105343,0.4829565217391304,0.043298376132537814,0.15596518177163338,0.020510987204742554,0.2348842429462584,0.02432878044921109,0.7179912602494871,0.04209614846848919,2.0
Random Forest,0.8283913699258967,0.017797116896800982,0.44120816564839344,0.09917871064374077,0.2229390681003584,0.04378236496730285,0.2954388982057957,0.05897058328885154,0.7161942236310284,0.04406298099271951,3.0
XGBoost,0.8324795068529083,0.009255215426162741,0.4470387438129374,0.07886791206154017,0.18146441372247823,0.04185735579175526,0.25721367314020666,0.05342108594004595,0.7131707655067502,0.0413533818661326,4.0
LightGBM,0.8253170699718014,0.009315906885903941,0.40769635343618515,0.0588998214352312,0.1880184331797235,0.03316992389720503,0.2565904160164427,0.04116785979784176,0.6999139923772157,0.0431482058055205,5.0
