iter	F1	Logloss
0	0	0.6735247513
1	0	0.6562475751
2	0	0.6404660056
3	0	0.6238045874
4	0	0.6104396434
5	0	0.5966193782
6	0	0.5836441379
7	0	0.5711115709
8	0	0.5599122471
9	0	0.5500440347
10	0	0.5413574292
11	0	0.5320662389
12	0	0.523574381
13	0	0.5161046011
14	0	0.5081066288
15	0	0.5023621617
16	0	0.495424497
17	0	0.4888812563
18	0	0.4834543836
19	0	0.4783742113
20	0	0.4742913862
21	0	0.4699843853
22	0	0.4659288678
23	0	0.4617365591
24	0	0.4577965255
25	0	0.4547775262
26	0	0.4506153293
27	0	0.4466998075
28	0	0.4436822221
29	0	0.4404302746
30	0	0.4374585836
31	0	0.4342596674
32	0	0.4318331348
33	0	0.4295711593
34	0	0.4271560449
35	0	0.4247292484
36	0	0.4229597654
37	0	0.4208222869
38	0	0.4189715029
39	0	0.4170444499
40	0	0.4153952191
41	0	0.4140243288
42	0	0.4125654443
43	0	0.4105468551
44	0	0.4090817101
45	0	0.4078634152
46	0	0.4066127905
47	0	0.405439928
48	0	0.4044667768
49	0	0.4031971952
50	0	0.4022399157
51	0	0.4015480442
52	0	0.4010115529
53	0.007936507937	0.3999793276
54	0.007936507937	0.399007858
55	0.007936507937	0.3981744605
56	0.007936507937	0.3972632977
57	0.007936507937	0.396596066
58	0.007936507937	0.3959051137
59	0.007936507937	0.3951512351
60	0.007936507937	0.3944156305
61	0.007936507937	0.3934922913
62	0.01581027668	0.3928957412
63	0.01581027668	0.3924026581
64	0.01581027668	0.3918176131
65	0.01581027668	0.391143253
66	0.02362204724	0.3906255621
67	0.02362204724	0.3901843749
68	0.01581027668	0.3897437906
69	0.02362204724	0.3891445081
70	0.02362204724	0.3884776659
71	0.03137254902	0.3880229187
72	0.02362204724	0.3874061781
73	0.03137254902	0.3867278644
74	0.03137254902	0.3859142484
75	0.03137254902	0.3851824826
76	0.0390625	0.3844900131
77	0.0390625	0.3842040435
78	0.0390625	0.3835607609
79	0.0390625	0.3830934189
80	0.0390625	0.3827689934
81	0.0390625	0.3823976287
82	0.0390625	0.3819692636
83	0.0390625	0.3817874848
84	0.0390625	0.3814055536
85	0.0390625	0.3810029192
86	0.0390625	0.3806373976
87	0.0390625	0.3803040367
88	0.0390625	0.3799537101
89	0.06177606178	0.3795537687
90	0.06177606178	0.3791308634
91	0.07662835249	0.3789529409
92	0.07662835249	0.378591081
93	0.07662835249	0.3781898181
94	0.07662835249	0.3779069123
95	0.07662835249	0.3775694798
96	0.07662835249	0.377238002
97	0.07662835249	0.3770017455
98	0.07662835249	0.3766995354
99	0.07662835249	0.3762040636
100	0.07662835249	0.375961576
101	0.08396946565	0.3756540699
102	0.08396946565	0.3754981487
103	0.09125475285	0.3752166053
104	0.09125475285	0.374886028
105	0.1056603774	0.3745586887
106	0.1056603774	0.3743816569
107	0.1052631579	0.3740880503
108	0.1052631579	0.3738656155
109	0.1052631579	0.3734522486
110	0.1052631579	0.3731689447
111	0.1052631579	0.372820853
112	0.1052631579	0.372453823
113	0.1052631579	0.3722062877
114	0.1052631579	0.3720459519
115	0.1123595506	0.3717894603
116	0.1123595506	0.3713916117
117	0.1123595506	0.371194783
118	0.1123595506	0.3709802659
119	0.1123595506	0.370775791
120	0.1123595506	0.3705117208
121	0.1123595506	0.3700621387
122	0.1052631579	0.3697592956
123	0.1052631579	0.3695172808
124	0.1052631579	0.3693475316
125	0.1052631579	0.3690414466
126	0.1052631579	0.3688571242
127	0.1052631579	0.3685937569
128	0.1052631579	0.3683801026
129	0.1052631579	0.3679697953
130	0.1052631579	0.3678266267
131	0.1052631579	0.3677266614
132	0.1052631579	0.367581068
133	0.1052631579	0.3674011995
134	0.1052631579	0.3672989395
135	0.1052631579	0.3671688109
136	0.1052631579	0.3669134076
137	0.1052631579	0.3667264599
138	0.1048689139	0.3663957942
139	0.1052631579	0.366119335
140	0.1185185185	0.3658568264
141	0.1254612546	0.3656363405
142	0.1254612546	0.3654841214
143	0.1259259259	0.3652362065
144	0.1254612546	0.3650977508
145	0.1323529412	0.3648570219
146	0.1323529412	0.3647397204
147	0.1323529412	0.3645628062
148	0.1323529412	0.3641373912
149	0.1323529412	0.363912044
150	0.1391941392	0.3637900918
151	0.1391941392	0.3635006495
152	0.1323529412	0.3633088265
153	0.1323529412	0.3631325519
154	0.1391941392	0.3629682858
155	0.1391941392	0.3628291488
156	0.1391941392	0.3627152164
157	0.1391941392	0.3625653486
158	0.1391941392	0.3623803154
159	0.1391941392	0.3622201149
160	0.1459854015	0.3620311408
161	0.1449275362	0.3618515629
162	0.1449275362	0.3616366891
163	0.1449275362	0.3614466498
164	0.1449275362	0.3612366476
165	0.1449275362	0.3610655882
166	0.1449275362	0.3608608167
167	0.1449275362	0.3606681959
168	0.1516245487	0.3605474726
169	0.1516245487	0.36025207
170	0.1582733813	0.3601191557
171	0.1582733813	0.3599450282
172	0.1516245487	0.3597616845
173	0.1516245487	0.3596383123
174	0.1582733813	0.359448329
175	0.164874552	0.3593377336
176	0.1714285714	0.3592985797
177	0.164874552	0.3590953476
178	0.1714285714	0.3589998379
179	0.1714285714	0.358751094
180	0.1714285714	0.3585777903
181	0.1714285714	0.3584345387
182	0.1714285714	0.3582842563
183	0.1714285714	0.3581443512
184	0.1714285714	0.3579410133
185	0.1714285714	0.3576911734
186	0.1714285714	0.357564282
187	0.1779359431	0.3573119949
188	0.1779359431	0.357112605
189	0.1779359431	0.3570259764
190	0.1779359431	0.3567334072
191	0.1779359431	0.3566298853
192	0.1779359431	0.3564991881
193	0.1779359431	0.356354265
194	0.1779359431	0.3560610942
195	0.1779359431	0.3559152616
196	0.1779359431	0.3557661343
197	0.1779359431	0.3555901249
198	0.1843971631	0.3554875441
199	0.1908127208	0.3553839252
